搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,南京玄武门亚朵酒店,江苏省南京市玄武区中央路266号(地铁1号线新模范马路站2号出口左转50米对面),,https://map.qq.com/poi/?sm=8322869224910931934&keyfrom=1
南京,酒店,汉庭酒店(南京河西万达店),江苏省南京市建邺区江东中路42号典雅居裙楼11号2-3层,,https://map.qq.com/poi/?sm=6360724686627372452&keyfrom=1
南京,酒店,南京金元宝大酒店湖熟店,江苏省南京市江宁区瑞泽路8号金宝湖熟商业广场4楼,,https://map.qq.com/poi/?sm=5409196715949108357&keyfrom=1
南京,酒店,南京禄口机场铂尔曼大酒店,江苏省南京市江宁区迎宾路2号航站楼2-9层,,https://map.qq.com/poi/?sm=16816483860015091879&keyfrom=1
南京,酒店,汉庭酒店(南京新街口地铁站店),江苏省南京市鼓楼区管家桥47号(近地铁2号线新街口站20号出口),,https://map.qq.com/poi/?sm=7718825786532588212&keyfrom=1
南京,酒店,南京泊金花间堂·琵琶山居酒店,"江苏省南京市玄武区琵琶洲16号(琵琶湖景区内), 中国",,https://map.qq.com/poi/?sm=12187903153467004447&keyfrom=1
南京,酒店,曙光薇酒店(南京夫子庙店),江苏省南京市秦淮区来燕路1号曙光天地1层(近夫子庙景区),,https://map.qq.com/poi/?sm=1856215112912135212&keyfrom=1
南京,酒店,南京安朴酒店,江苏省南京市雨花台区安德门大街57号楚翘城2号楼,,https://map.qq.com/poi/?sm=3080224818601866728&keyfrom=1
南京,酒店,南京中公汇悦大酒店,江苏省南京市栖霞区仙林大学城元化路8号南大科学园2栋,,https://map.qq.com/poi/?sm=8639749430625981142&keyfrom=1
南京,酒店,正晴和酒店(黑龙江路店),"江苏省南京市鼓楼区黑龙江路33号301室,401室",,https://map.qq.com/poi/?sm=16133773053091131902&keyfrom=1
南京,酒店,Zsmart智尚酒店(南京夫子庙喜马拉雅有声图书馆店),"江苏省南京市秦淮区建康路115号(近水游城,地铁3号线夫子庙站3号出口西300米)",,https://map.qq.com/poi/?sm=2963541237674507672&keyfrom=1
